List,Publication,Title,First Author,Year,Category,Sex,Race,Hispanic,Born,Age Estimated
The Top 10 Nonfiction Books,Time,The Constitution Today,Akhil Reed Amar,2016,Non-Fiction,Male,Asian,FALSE,1958,FALSE
The Top 10 Nonfiction Books,Time,Kill ’Em and Leave: Searching for James Brown and the American Soul,James McBride,2016,Non-Fiction,Male,Black,FALSE,1957,FALSE
The Top 10 Nonfiction Books,Time,Lab Girl,Hope Jahren,2016,Non-Fiction,Female,White,FALSE,1969,FALSE
The Top 10 Nonfiction Books,Time,Shirley Jackson: A Rather Haunted Life,Ruth Franklin,2016,Non-Fiction,Female,White,FALSE,1974,TRUE
The Top 10 Nonfiction Books,Time,Hidden Figures: The American Dream and the Untold Story of the Black Women Mathematicians Who Helped Win the Space Race,Margot Lee Shetterly,2016,Non-Fiction,Female,Black,FALSE,1969,FALSE
The Top 10 Nonfiction Books,Time,Known and Strange Things,Teju Cole,2016,Non-Fiction,Male,Black,FALSE,1975,FALSE
The Top 10 Nonfiction Books,Time,You'll Grow Out of It,Jessi Klein,2016,Non-Fiction,Female,White,FALSE,1975,FALSE
The Top 10 Nonfiction Books,Time,Hillbilly Elegy,JD Vance,2016,Non-Fiction,Male,White,FALSE,1982,TRUE
The Top 10 Nonfiction Books,Time,March: Book Three,John Lewis,2016,Non-Fiction,Male,Black,FALSE,1940,FALSE
The Top 10 Novels,Time,Here I Am,Jonathan Safran Foer,2016,Fiction,Male,White,FALSE,1977,FALSE
The Top 10 Novels,Time,My Name Is Lucy Barton,Elizabeth Strout,2016,Fiction,Female,White,FALSE,1956,FALSE
The Top 10 Novels,Time,The Trespasser,Tana French,2016,Fiction,Female,White,FALSE,1973,FALSE
The Top 10 Novels,Time,Swing Time,Zadie Smith,2016,Fiction,Female,Black,FALSE,1975,FALSE
The Top 10 Novels,Time,Imagine Me Gone,Adam Haslett,2016,Fiction,Male,White,FALSE,1970,FALSE
The Top 10 Novels,Time,All the Birds in the Sky,Charlie Jane Anders,2016,Fiction,Female,White,FALSE,1981,TRUE
The Top 10 Novels,Time,Homegoing,Yaa Gyasi,2016,Fiction,Female,Black,FALSE,1989,FALSE
The Top 10 Novels,Time,Commonwealth,Ann Patchett,2016,Fiction,Female,White,FALSE,1963,FALSE
The Top 10 Novels,Time,Another Brooklyn,Jacqueline Woodson,2016,Fiction,Female,Black,FALSE,1963,FALSE
The Top 10 Novels,Time,The Underground Railroad,Colson Whitehead,2016,Fiction,Male,Black,FALSE,1969,FALSE
The 24 Best Fiction Books Of 2016,Buzzfeed,The Underground Railroad,Colson Whitehead,2016,Fiction,Male,Black,FALSE,1969,FALSE
The 24 Best Fiction Books Of 2016,Buzzfeed,The Vegetarian,Han Kang,2016,Fiction,Female,Asian,FALSE,1970,FALSE
The 24 Best Fiction Books Of 2016,Buzzfeed,What Is Not Yours Is Not Yours,Helen Oyeyemi,2016,Fiction,Female,Black,FALSE,1984,FALSE
The 24 Best Fiction Books Of 2016,Buzzfeed,The Regional Office Is Under Attack!,Manuel Gonzales,2016,Fiction,Male,White,TRUE,1975,TRUE
The 24 Best Fiction Books Of 2016,Buzzfeed,The Mothers,Brit Bennett,2016,Fiction,Female,Black,FALSE,1990,FALSE
The 24 Best Fiction Books Of 2016,Buzzfeed,Imagine Me Gone,Adam Haslett,2016,Fiction,Male,White,FALSE,1970,FALSE
The 24 Best Fiction Books Of 2016,Buzzfeed,Homegoing,Yaa Gyasi,2016,Fiction,Female,Black,FALSE,1989,FALSE
The 24 Best Fiction Books Of 2016,Buzzfeed,The Association of Small Bombs,Karan Mahajan,2016,Fiction,Male,Asian,FALSE,1984,FALSE
The 24 Best Fiction Books Of 2016,Buzzfeed,Version Control,Dexter Palmer,2016,Fiction,Male,Black,FALSE,1975,TRUE
The 24 Best Fiction Books Of 2016,Buzzfeed,What Belongs to You,Garth Greenwell,2016,Fiction,Male,White,FALSE,1978,FALSE
The 24 Best Fiction Books Of 2016,Buzzfeed,Sweetbitter,Stephanie Danler,2016,Fiction,Female,White,FALSE,1984,TRUE
The 24 Best Fiction Books Of 2016,Buzzfeed,The Wangs vs. the World,Jade Chang,2016,Fiction,Female,Asian,FALSE,1978,TRUE
The 24 Best Fiction Books Of 2016,Buzzfeed,Moonglow,Michael Chabon,2016,Fiction,Male,White,FALSE,1963,FALSE
The 24 Best Fiction Books Of 2016,Buzzfeed,"We Love You, Charlie Freeman",Kaitlyn Greenidge,2016,Fiction,Female,Black,FALSE,1982,TRUE
The 24 Best Fiction Books Of 2016,Buzzfeed,Queen of the Night,Alexander Chee,2016,Fiction,Male,Mixed,FALSE,1967,TRUE
The 24 Best Fiction Books Of 2016,Buzzfeed,Girls on Fire,Robin Wasserman,2016,Fiction,Female,White,FALSE,1978,FALSE
The 24 Best Fiction Books Of 2016,Buzzfeed,Here Comes the Sun,Nicole Dennis-Benn,2016,Fiction,Female,Black,FALSE,1981,FALSE
The 24 Best Fiction Books Of 2016,Buzzfeed,Pond,Claire-Louise Bennett,2016,Fiction,Female,White,FALSE,1979,TRUE
The 24 Best Fiction Books Of 2016,Buzzfeed,Private Citizens,Tony Tulathimutte,2016,Fiction,Male,Asian,FALSE,1983,FALSE
The 24 Best Fiction Books Of 2016,Buzzfeed,Some Possible Solutions,Helen Phillips,2016,Fiction,Female,White,FALSE,1983,FALSE
The 24 Best Fiction Books Of 2016,Buzzfeed,The Lost Time Accidents,John Wray,2016,Fiction,Male,White,FALSE,1971,FALSE
The 24 Best Fiction Books Of 2016,Buzzfeed,Another Brooklyn,Jacqueline Woodson,2016,Fiction,Female,Black,FALSE,1963,FALSE
The 24 Best Fiction Books Of 2016,Buzzfeed,The Red Car,Marcy Dermansky,2016,Fiction,Female,White,FALSE,1969,FALSE
The 24 Best Fiction Books Of 2016,Buzzfeed,Swing Time,Zadie Smith,2016,Fiction,Female,Black,FALSE,1975,FALSE
The 18 Best Nonfiction Books Of 2016,Buzzfeed,Shirley Jackson: A Rather Haunted Life,Ruth Franklin,2016,Non-Fiction,Female,White,FALSE,1974,TRUE
The 18 Best Nonfiction Books Of 2016,Buzzfeed,Bullies: A Friendship,Alex Abramovich,2016,Non-Fiction,Male,White,FALSE,1972,FALSE
The 18 Best Nonfiction Books Of 2016,Buzzfeed,Hidden Figures: The American Dream and the Untold Story of the Black Women Mathematicians Who Helped Win the Space Race,Margot Lee Shetterly,2016,Non-Fiction,Female,Black,FALSE,1969,FALSE
The 18 Best Nonfiction Books Of 2016,Buzzfeed,I Contain Multitudes: The Microbes Within Us and a Grander View of Life,Ed Yong,2016,Non-Fiction,Male,Asian,FALSE,1981,FALSE
The 18 Best Nonfiction Books Of 2016,Buzzfeed,Born to Run,Bruce Springsteen,2016,Non-Fiction,Male,White,FALSE,1949,FALSE
The 18 Best Nonfiction Books Of 2016,Buzzfeed,The Art of Waiting,Belle Boggs,2016,Non-Fiction,Female,White,FALSE,1978,TRUE
The 18 Best Nonfiction Books Of 2016,Buzzfeed,Stamped From the Beginning: The Definitive History of Racist Ideas in America,Ibram X. Kendi,2016,Non-Fiction,Male,Black,FALSE,1982,FALSE
The 18 Best Nonfiction Books Of 2016,Buzzfeed,Boy Erased,Garrard Conley,2016,Non-Fiction,Male,White,FALSE,1982,TRUE
The 18 Best Nonfiction Books Of 2016,Buzzfeed,Atlas Obscura: An Explorer’s Guide to the World’s Hidden Wonders,Joshua Foer,2016,Non-Fiction,Male,White,FALSE,1982,FALSE
The 18 Best Nonfiction Books Of 2016,Buzzfeed,The Fire This Time,Jesmyn Ward,2016,Non-Fiction,Female,Black,FALSE,1977,FALSE
The 18 Best Nonfiction Books Of 2016,Buzzfeed,How to Survive a Plague: The Inside Story of How Citizens and Science Tamed AIDS,David France,2016,Non-Fiction,Male,White,FALSE,1959,FALSE
The 18 Best Nonfiction Books Of 2016,Buzzfeed,Secondhand Time: The Last of the Soviets,Svetlana Alexievich,2016,Non-Fiction,Female,White,FALSE,1948,FALSE
The 18 Best Nonfiction Books Of 2016,Buzzfeed,Am I Alone Here?,Peter Orner,2016,Non-Fiction,Male,White,FALSE,1968,FALSE
The 18 Best Nonfiction Books Of 2016,Buzzfeed,The South Side: A Portrait of Chicago and American Segregation,Natalie Y. Moore,2016,Non-Fiction,Female,Black,FALSE,1977,TRUE
The 18 Best Nonfiction Books Of 2016,Buzzfeed,Time Travel: A History,James Gleick,2016,Non-Fiction,Male,White,FALSE,1954,FALSE
The 18 Best Nonfiction Books Of 2016,Buzzfeed,March: Book Three,John Lewis,2016,Non-Fiction,Male,Black,FALSE,1940,FALSE
The 18 Best Nonfiction Books Of 2016,Buzzfeed,Evicted: Poverty and Profit in the American City,Matthew Desmond,2016,Non-Fiction,Male,White,FALSE,1980,TRUE
The 18 Best Nonfiction Books Of 2016,Buzzfeed,Weapons of Math Destruction: How Big Data Increases Inequality and Threatens Democracy,Cathy O’Neil,2016,Non-Fiction,Female,White,FALSE,1973,FALSE
The best books we read in 2016,Vox,High Wages,Dorothy Whipple,1930,Fiction,Female,White,FALSE,1893,FALSE
The best books we read in 2016,Vox,Rose Under Fire,Elizabeth Wein,2014,Fiction,Female,White,FALSE,1964,FALSE
The best books we read in 2016,Vox,Homegoing,Yaa Gyasi,2016,Fiction,Female,Black,FALSE,1989,FALSE
The best books we read in 2016,Vox,The Wangs vs. the World,Jade Chang,2016,Fiction,Female,Asian,FALSE,1978,TRUE
The best books we read in 2016,Vox,This Is Where I Leave You,Jonathan Tropper,2010,Fiction,Male,White,FALSE,1946,FALSE
The best books we read in 2016,Vox,The Perks of Being a Wallflower,Stephen Chbosky,2012,Fiction,Male,White,FALSE,1970,FALSE
The best books we read in 2016,Vox,Version Control,Dexter Palmer,2016,Fiction,Male,Black,FALSE,1975,FALSE
The best books we read in 2016,Vox,White Teeth,Zadie Smith,2011,Fiction,Female,Black,FALSE,1975,FALSE
The best books we read in 2016,Vox,Your Name is Renée: Ruth Kapp Hartz's Story as a Hidden Child in Nazi-Occupied France,Stacy Cretzmeyer,2002,Non-Fiction,Female,White,FALSE,1951,FALSE
The best books we read in 2016,Vox,The Argonauts,Maggie Nelson,2015,Non-Fiction,Female,White,FALSE,1973,FALSE
The best books we read in 2016,Vox,The Attention Merchants: The Epic Scramble to Get Inside Our Heads,Tim Wu,2016,Non-Fiction,Male,Mixed,FALSE,1971,TRUE
The best books we read in 2016,Vox,Hitler: A Biography,Ian Kershaw,1991,Non-Fiction,Male,White,FALSE,1943,FALSE
The best books we read in 2016,Vox,Atlas Obscura: An Explorer’s Guide to the World’s Hidden Wonders,Joshua Foer,2016,Non-Fiction,Male,White,FALSE,1982,FALSE
The best books we read in 2016,Vox,TV: The Book,Alan Sepinwall,2016,Non-Fiction,Male,White,FALSE,1975,TRUE
The best books we read in 2016,Vox,Bird by Bird: Some Instructions on Writing and Life,Anne Lamott,1995,Non-Fiction,Female,White,FALSE,1954,FALSE
The best books we read in 2016,Vox,Storycraft: The Complete Guide to Writing Narrative Nonfiction,Jack Hart,2011,Non-Fiction,Male,White,FALSE,1947,TRUE
